month,merchant_key,merchant_name,owner,merchant_scale,priority_level,current_gmv,previous_gmv,gmv_change_abs,gmv_loss,gmv_mom,gmv_rank_current,gmv_rank_change,previous_gmv_share,diagnostic_dimensions,data_quality_status,metric_quality_status,merchant_mapping_status,aftersales_rate,attention_reasons
2026-01,ID:11125,药悦网,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,82.0,1.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化1，同月分位9.6%
2026-01,ID:1140,都尔东康,负责人 B,MID,NO_PRIORITY,17911.74,12727.05,5184.690000000002,0.0,0.4073756290735089,65.0,-1.0,0.000933511420432,,NO_ALERT,MISSING,NAME_MATCHED,0.0,
2026-01,ID:1142,普宁普慈,负责人 B,KEY,NO_PRIORITY,149577.84,198022.37,-48444.53,48444.53,-0.2446417038640634,25.0,1.0,0.0145246654877618,,NO_ALERT,MISSING,NAME_MATCHED,0.0144278606965174,
2026-01,ID:11628,子钦医疗,,LONG_TAIL,WATCHLIST,664.0,984.0,-320.0,320.0,-0.3252032520325203,81.0,3.0,7.217503173988706e-05,Relative Position,NO_ALERT,MISSING,NAME_MATCHED,0.0,Relative Position: 排名变化3，同月分位19.2%
2026-01,ID:11854,诺和堂,负责人 B,KEY,ATTENTION,254556.91,483017.11,-228460.2,228460.2,-0.4729857292218903,15.0,9.0,0.0354286333792261,Scale / Impact|Relative Position,NO_ALERT,MISSING,NAME_MATCHED,0.0159211523881728,Scale / Impact: GMV损失228460.20，上月区域占比3.5%；Relative Position: 排名变化9，同月分位85.9%
2026-01,ID:11860,一玖堂,负责人 B,MID,NO_PRIORITY,61263.46,50370.28,10893.18,0.0,0.2162620497642657,42.0,-10.0,0.0036945899977103,,NO_ALERT,MISSING,NAME_MATCHED,0.0092735703245749,
2026-01,ID:11905,贰美医疗,负责人 B,MID,NO_PRIORITY,48717.08,44815.44,3901.64,0.0,0.0870601739043508,50.0,-3.0,0.0032871502077611,,NO_ALERT,MISSING,NAME_MATCHED,0.0115972588297311,
2026-01,ID:11908,药精采,负责人 B,MID,WATCHLIST,35324.63,58101.96,-22777.33,22777.33,-0.392023436042433,57.0,8.0,0.0042616979747455,Relative Position,NO_ALERT,MISSING,NAME_MATCHED,0.0237467018469657,Relative Position: 排名变化8，同月分位43.4%
2026-01,ID:11984,四川北尘,负责人 B,MID,NO_PRIORITY,59338.99,82448.34,-23109.35,23109.35,-0.2802888451119816,45.0,5.0,0.0060474710939034,,NO_ALERT,MISSING,NAME_MATCHED,0.0214285714285714,
2026-01,ID:12380,纽瑞特,负责人 B,LONG_TAIL,NO_PRIORITY,2086.22,0.0,2086.22,0.0,,76.0,-5.0,0.0,,NO_ALERT,MISSING,ID_MATCHED,0.0,
2026-01,ID:12382,四川奥慈,负责人 B,MID,NO_PRIORITY,169729.44,149277.56,20451.880000000005,0.0,0.1370057227623495,24.0,-6.0,0.010949301454322,,NO_ALERT,MISSING,NAME_MATCHED,0.0175182481751824,
2026-01,ID:1257,辉莹医疗,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,82.0,1.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化1，同月分位9.6%
2026-01,ID:12642,九之堂旗舰店,负责人 B,MID,NO_PRIORITY,125628.51,61399.5,64229.01,0.0,1.0460836000293163,31.0,-15.0,0.004503567948489,,NO_ALERT,MISSING,NAME_MATCHED,0.0085261875761266,
